Car_Name,Year,Kilometers_Driven,Fuel_Type,Transmission,Price(INR)
Hyundai Grand i10,2016,34110,Petrol,Manual,335000
Hyundai Verna 1.6 VTVT SX (O) AT,2018,30230,Petrol,Auto,668000
Hyundai Grand i10,2018,63230,Petrol,Manual,350000
Hyundai Xcent SX 1.2,2014,96900,Petrol,Manual,300000
Hyundai GRAND I10 NIOS,2020,40150,Petrol,Auto,455000
Hyundai Elite i20 ASTA 1.2 (O),2018,110000,Petrol,Manual,355000
Hyundai EXTER  SX 1.2 AMT,2023,8800,Petrol,Auto,747000
Hyundai Creta SX (O) 1.6 PETROL,2019,63750,Petrol,Manual,830000
Hyundai NEW I20 N LINE,2021,11860,Petrol,Manual,685000
Hyundai Creta SX PLUS 1.6 PETROL,2016,88650,CNG,Manual,523000
Hyundai Creta SX PLUS AT 1.6 PETROL,2016,69950,Petrol,Auto,590000
Hyundai AURA SX PLUS 1.2 AMT CRDI,2020,57700,Diesel,Auto,542000
Hyundai Xcent SX 1.2,2019,130000,CNG,Manual,355000
Hyundai Grand i10,2019,58080,CNG,Manual,360000
Hyundai EXTER  SX 1.2 AMT,2023,6840,Petrol,Auto,752000
Hyundai Elite i20 ASTA 1.2,2016,28160,Petrol,Manual,380000
Hyundai i10 MAGNA 1.1,2012,43170,CNG,Manual,210000
Hyundai New Elantra 2.0 S PETROL,2021,25170,Petrol,Manual,810000
Hyundai NEW SANTRO,2018,38040,CNG,Manual,332000
Hyundai AURA S 1.2,2021,56760,Petrol,Manual,490000
Hyundai Grand i10 ASTA 1.2 KAPPA VTVT,2015,47910,Petrol,Manual,280000
Hyundai i10 MAGNA 1.2,2013,55420,Petrol,Manual,165000
Hyundai AURA S 1.2,2021,51010,CNG,Manual,518000
Hyundai AURA S 1.2,2024,28900,Petrol,Manual,582000
Hyundai GRAND I10 NIOS,2022,34020,Petrol,Auto,560000
Hyundai Xcent S 1.2,2015,66760,Petrol,Manual,275000
Hyundai Creta SX PLUS 1.6 DIESEL SPECIAL EDITION,2017,76400,Diesel,Manual,692000
Hyundai Grand i10,2017,23600,Petrol,Auto,409999
Hyundai Grand i10,2013,130000,CNG,Manual,225000
Hyundai GRAND I10 NIOS,2019,37610,CNG,Manual,509999
Hyundai VENUE S 1.2,2021,24980,Petrol,Manual,620000
Hyundai Verna 1.6 VTVT SX (O) AT,2017,72280,Petrol,Auto,592000
Hyundai VENUE S 1.0 TURBO DCT,2019,46450,Petrol,Auto,700000
Hyundai Xcent S 1.2,2015,71700,Petrol,Manual,308000
Hyundai Verna FLUIDIC 1.6 CRDI SX 4S,2015,62610,Diesel,Manual,509999
Hyundai Eon MAGNA +,2013,47060,Petrol,Manual,195000
Hyundai Xcent E+,2017,100000,Petrol,Manual,303000
Hyundai Creta SX PLUS 1.6 PETROL,2017,49690,Petrol,Manual,597000
Hyundai Elite i20 ASTA 1.2,2018,54370,Petrol,Manual,500000
Hyundai Elite i20 MAGNA 1.2,2015,99660,Petrol,Manual,315000
Hyundai Creta SX 1.6 DIESEL,2016,98670,Diesel,Manual,602000
Hyundai Verna 1.6 VTVT SX (O) AT,2018,69470,Petrol,Auto,669000
Hyundai NEW SANTRO,2021,39330,Petrol,Manual,381000
Hyundai Creta SX PLUS 1.6 PETROL,2015,87770,Petrol,Manual,565000
Hyundai NEW I20 ASTA (O) 1.0 TURBO GDI DCT,2021,31680,Petrol,Auto,731000
Hyundai Creta E PLUS 1.6 PETROL,2019,42440,Petrol,Manual,665000
Hyundai Creta SX PLUS 1.6 PETROL,2017,43580,Petrol,Manual,658000
Hyundai VENUE SX 1.0 TURBO IMT,2020,64849,Petrol,Manual,660000
Hyundai NEW I20 ASTA (O) 1.2 AT,2022,30040,Petrol,Auto,815000
Hyundai VENUE SX 1.0 TURBO IMT,2020,72270,Petrol,Manual,622000
Hyundai i20 SPORTZ 1.2,2013,30920,Petrol,Manual,275000
Hyundai Grand i10,2014,33520,Petrol,Manual,275000
Hyundai Xcent S 1.2,2016,110000,Petrol,Manual,340000
Hyundai Creta SX PLUS 1.6 PETROL,2016,81040,Petrol,Manual,515000
Hyundai VENUE SX 1.0 (O) TURBO IMT,2022,22470,Petrol,Manual,855000
Hyundai Grand i10 ASTA 1.2 KAPPA VTVT,2014,34460,Petrol,Manual,315000
Hyundai VENUE SX 1.0 TURBO IMT,2021,38020,Petrol,Manual,705000
